nombre,departamento
Abancay,Apurímac
Amazonas,Amazonas
Áncash,Áncash
Andahuaylas,Apurímac
Apurímac,Apurímac
Arequipa,Arequipa
Ate,Lima
Ayacucho,Ayacucho
Ayaviri,Puno
Bagua,Amazonas
Bagua Grande,Amazonas
Barranca,Lima
Barranco,Lima
Bellavista,Callao
Breña,Lima
Cajabamba,Cajamarca
Cajamarca,Cajamarca
Callao,Callao
Camaná,Arequipa
Cañete,Lima
Carabayllo,Lima
Caraz,Áncash
Carmen de la Legua,Callao
Casma,Áncash
Catacaos,Piura
Cerro de Pasco,Pasco
Chachapoyas,Amazonas
Chanchamayo,Junín
Chepén,La Libertad
Chiclayo,Lambayeque
Chimbote,Áncash
Chincha Alta,Ica
Chorrillos,Lima
Chosica,Lima
Chota,Cajamarca
Chulucanas,Piura
Cieneguilla,Lima
Comas,Lima
Cusco,Cusco
Desaguadero,Puno
El Agustino,Lima
Ferreñafe,Lambayeque
Huacho,Lima
Huamachuco,La Libertad
Huancavelica,Huancavelica
Huancayo,Junín
Huánuco,Huánuco
Huaral,Lima
Huaraz,Áncash
Huarmey,Áncash
Ica,Ica
Ilave,Puno
Ilo,Moquegua
Independencia,Lima
Iquitos,Loreto
Jaén,Cajamarca
Jauja,Junín
Jesús María,Lima
Juanjuí,San Martín
Juliaca,Puno
Junín,Junín
La Libertad,La Libertad
La Merced,Junín
La Molina,Lima
La Oroya,Junín
La Perla,Callao
La Punta,Callao
La Victoria,Lima
Lamas,San Martín
Lambayeque,Lambayeque
Lima,Lima
Lince,Lima
Loreto,Loreto
Los Olivos,Lima
Lurín,Lima
Madre de Dios,Madre de Dios
Magdalena del Mar,Lima
Miraflores,Lima
Mollendo,Arequipa
Moquegua,Moquegua
Motupe,Lambayeque
Moyobamba,San Martín
Nazca,Ica
Olmos,Lambayeque
Pacasmayo,La Libertad
Pachacámac,Lima
Paita,Piura
Pasco,Pasco
Pisco,Ica
Piura,Piura
Pucallpa,Ucayali
Pueblo Libre,Lima
Puente Piedra,Lima
Puerto Maldonado,Madre de Dios
Puno,Puno
Quillabamba,Cusco
Rímac,Lima
San Borja,Lima
San Isidro,Lima
San Juan de Lurigancho,Lima
San Juan de Miraflores,Lima
San Luis,Lima
San Martín,San Martín
San Martín de Porres,Lima
San Miguel,Lima
Santa Anita,Lima
Santiago de Surco,Lima
Satipo,Junín
Sechura,Piura
Sicuani,Cusco
Sullana,Piura
Surquillo,Lima
Tacna,Tacna
Talara,Piura
Tarapoto,San Martín
Tarma,Junín
Tingo María,Huánuco
Trujillo,La Libertad
Tumbes,Tumbes
Ucayali,Ucayali
Ventanilla,Callao
Villa El Salvador,Lima
Villa María del Triunfo,Lima
Yungay,Áncash
Yurimaguas,Loreto
